month,exchange,avg_price_vw,buy_fills
2025-09-01 00:00:00.000 UTC,negrisk,0.3858296410454474,2934782
2025-09-01 00:00:00.000 UTC,regular,0.5105559037757016,2553258
2025-10-01 00:00:00.000 UTC,negrisk,0.26573904790862274,5512445
2025-10-01 00:00:00.000 UTC,regular,0.5286598518798787,6159763
2025-11-01 00:00:00.000 UTC,negrisk,0.35047781132716976,8013256
2025-11-01 00:00:00.000 UTC,regular,0.521372007164211,10627490
2025-12-01 00:00:00.000 UTC,negrisk,0.3362377615825732,9756746
2025-12-01 00:00:00.000 UTC,regular,0.5032195598067143,19720908
2026-01-01 00:00:00.000 UTC,negrisk,0.3626200500323731,16527193
2026-01-01 00:00:00.000 UTC,regular,0.49887556050977144,34967829
2026-02-01 00:00:00.000 UTC,negrisk,0.3722785627843053,18494081
2026-02-01 00:00:00.000 UTC,regular,0.49861874317071747,56136920
2026-03-01 00:00:00.000 UTC,negrisk,0.3743408257745813,28370251
2026-03-01 00:00:00.000 UTC,regular,0.491625708476978,80393898
2026-04-01 00:00:00.000 UTC,negrisk,0.39593043205813966,13154495
2026-04-01 00:00:00.000 UTC,regular,0.4561083506243103,26034002
